Name,CADR,Price (USD),Noise Rating (db),Environmental Impact,Size (in),Power (W),Room Size (sq ft),Configuration,Where to Buy?,In Stock?,Alternative sites,
Levoit Vital 100 True HEPA Air Purifier,130,119.99,23,"Ozone free,  no UV-C light or anion purification methods",12.8 x 6.4 x 16.1,55,300,,https://www.levoit.com/allproducts/vital100,N,,
Whirlpool® WPT80 Whispure™ Large Tower Air Purifier,142,167.99,,Quiet Partner® System: the Quietest High Efficiency Air Purifier Technology,8.46 x 6.93 x 23,43,220,,https://www.aromalivingstyles.com/whirlpool-wpt80-whispure-medium-tower-air-purifier-black.html,Y,,Low is 35 db according to https://breathequality.com/whirlpool-wpt80-review/#a5
Oransi OV200 Air Purifier,150,329,54,"Certified Ozone Safe by the State of California Air Resources Board, ETL certified safe","13 x 23 x 7
",60,400,,https://oransi.com/products/oransi-ov200-air-purifier?variant=37157370134709,Y,,
Coway Airmega 150,161,189.99,48.3,,13.4 x 6.5 x 18.5,35,214,,https://cowaymega.com/products/coway-airmega-150,Y,,
BioGS 2.0 Ultra Quiet Air Purifier SPA- 550A,149,369.95,48.6,Energy Star,22.2 x 16.6 x 9.8,29,550,,https://www.rabbitair.com/products/biogs2-air-purifier,Y,,
BioGS 2.0 Ultra Quiet Air Purifier SPA-625,165,399.95,50.4,Energy Star,22.2 x 16.6 x 9.8,39,625,,https://www.rabbitair.com/products/biogs2-air-purifier,Y,,
Honeywell True HEPA Large Room Air Purifier With Allergen Remover,190,197.99,,Energy Star,17.72 x 10.05 x 18.86,,310,,https://www.honeywellstore.com/store/products/true-hepa-large-room-air-purifier-with-allergen-remover-white-hpa204.htm,Y,,
MinusA2 Ultra Quiet Air Purifier SPA-780,193,599.95,51.3,Energy Star,20 x 21.4 x 7,61,815,,https://www.rabbitair.com/products/minusa2-air-purifier?msclkid=eff44bd83da217685c091479b4f0931b&utm_campaign=Search%20-%20US%20-%20Generic&utm_content=Air%20Purifier%20-%20Exact&utm_medium=cpc&utm_source=bing&utm_term=top%20air%20purifiers%20of%202020&variant=29446108020759,Y,,
MinusA2 Ultra Quiet Air Purifier SPA- 700,173,549.95,45.6,Energy Star,20 x 21.4 x 7,47,700,,https://www.rabbitair.com/products/minusa2-air-purifier?msclkid=eff44bd83da217685c091479b4f0931b&utm_campaign=Search%20-%20US%20-%20Generic&utm_content=Air%20Purifier%20-%20Exact&utm_medium=cpc&utm_source=bing&utm_term=top%20air%20purifiers%20of%202020&variant=29446108020759,Y,,
Coway Airmega AP-1512HH,246,229.99,24.4,Energy Star,18.3 x 16.8 x 9.6,77,361,,https://cowaymega.com/products/coway-mighty-ap-1512hh,Y,,
Levoit LV-H134 Tower Pro True HEPA Air Purifier,312,399.99,54,Energy Star,13.7 x 13.7 x 30.9,,710,,https://www.levoit.com/allproducts/lv-h134,Y,,
Honeywell True HEPA Bluetooth Smart Air Purifier With Allergen Remover,320,299.99,,Energy Star,20.08 x 10.83 x 22.32,130,465,,https://www.honeywellstore.com/store/products/honeywell-hepa-bluetooth-smart-air-purifier-hpa8350b.htm,N,https://www.amazon.com/Honeywell-Bluetooth-Allergen-Remover-Purifier/dp/B07G9ZL5LL,
Whirlpool® WPPRO2000 Whispure™ Air Purifier,328,413.99,,Energy Star,19.45 x 10.08 x 25.08,115,508,,https://www.aromalivingstyles.com/whirlpoolr-wppro2000-whispuretm-air-purifier-pearl-white.html,N,,
Oransi EJ120 Air Purifier,333,899,59,Energy Star,17 x 19 x 10,52,550,,https://oransi.com/products/oransi-ej-air-purifier?variant=37157370790069,Y,,
Alen BreatheSmart 75i True HEPA Air Purifier,347,749,49,"Energy Star, Ozone: 0 PPM when disengaged, less than 0.001 PPM with optional ionizer engaged",27 x 18.5 x 11.5,45,866,,https://alen.com/products/alen-breathesmart-75i-air-purifier,Y,,
Blueair Blue Pure 221,350,421.68,56,Energy Star,20.315 x 12.992 x 12.992,61,538,,https://www.blueair.com/en-se/air-purifiers/221/2509.html?cgid=air-purifiers,Y,,
Blueair Classic 605 with Particle Filter,500,1012.83,62,Energy Star,26 x 19.7 x 13.4,100,775,,https://www.blueair.com/en-se/classic/classic-605/eu-classic-605.html?cgid=classic,N,,
Medify MA-112 V2.0 Air Purifier,560,595,70,"Energy Star, ETL, CARB",28.3 x 15.7 x 15.4,95,1122,,https://medifyair.com/products/ma-112,Y,,
Austin Air HealthMate HM400,400,595,63,,23 x 14.5 x 14.5,135,600,,"Austin Air Healthmate Air Purifier, 1500 sq ft, HM400 – The Air Purifier Store",Y,,
Blueair Blue Pure 211,350,300,56,"Energy Star, AHAM certified, CARB",20 x 13 x 13,61,540,,Blue 211+ | Air purifier for up to 540 ft² | Blueair | Blueair,Y,,
Coway Airmega 300 Air Purifier,335,422.94,52,,13.58 x 20.94 x 13.58,,1256,,"Amazon.com: Coway Airmega 300 Smart Air Purifier with 1,256 sq. ft. Coverage: Home & Kitchen",Y,,
Winix C535 Air Cleaner,243,150,,"Energy Star, CARB, AHAM",15 x 8.2 x 23.6,,360,,https://www.winixamerica.com/product/c535/,Y,,
Hathaspace HSP002 Smart True HEPA Air Purier 2.0,450,400,60,"ETL, CARB, Energy Star",16.5 x 9 x 27,40,1500,,https://www.amazon.com/Hathaspace-Smart-Medical-Grade-Purifier/dp/B07V56QH7T,Y,,
Air Oasis iAdaptAir HEPA Air Purifer (Medium),260,600,52,,33 x 12 x 12,24,550,,https://www.airoasis.com/shop/iadaptair/,Y,,
Oransi EJ120 Air Purier,333,899,59,Energy Star,17 x 19 x 10,52,499,,https://oransi.com/products/oransi-ej-air-purifier?variant=37157370790069,Y,,
Philips Air Purier Series 5000i,293,700,52,Energy Star,15.75 x 18.31 x 22.44,56,454,,,N,,
"Honeywell True HEPA, Germ Fighting, Allergen Reducer Air Purifier With Long-Lasting HEPA Filter, 50250",250,230,69,,18 x 18 x 19,80,390,,https://www.honeywellstore.com/store/products/honeywell-50250-true-hepa-germ-fighting-allergen-reducer-air-purifier.htm,Y,,
Idylis 3-Speed 310-sq ft HEPA Air Purifer,200,245,58,,,,310,,,N/A,,
Levoit Core 300 True HEPA Air Purifier,141,100,50,Energy Star,8.7 x 8.7 x 14.2,,215,,https://www.levoit.com/allproducts/core300-true-hepa-air-purifier,Y,,
GermGuardian AC5250PT 5-in-1 Pet Pure Air Purifier,132,130,60,Energy Star,11 x 6.75 x 27.25,,180,,https://www.guardiantechnologies.com/products/air-purifiers-with-uv-hepa-filters-ac5250pt-3-in-1-pet-pure-air-cleaning-system-with-true-hepa-uv-c-sanitizer-and-odor-reduction-28-inch-tower-by-germguardian,Y,,
Lasko HEPA HF25620 Air Purifier,104,168,,,2.3 x 8.9 x 14.5,,161,,https://www.amazon.com/Lasko-Hepa-HF25620-Purifier-Pure/dp/B00K0AC7XS,3 left as of 2/15,AHAM verified,
GermGuardian True HEPA Filter Air Purifier,68,80,,,10.5 x 10.75 x 15.5,,105,,https://www.amazon.com/Germ-Guardian-Eliminates-Deodorizes-AC4200W/dp/B07R5WX77Y,Y,AHAM verified,